Image#,Tray_ID,Plate ID,Treatment,Genotype  GWAS # in GH,Genotype_ID,Block,Date collected,Date on media,Location of plants,Note,Randomized #
1,GTOOO1,9117,CTR,4902,KTMC-12-1,B1,6/28/22,6/30/22,E15,New plants 2022,1
2,GTOOO1,9120,AS,4902,KTMC-12-1,B1,6/28/22,6/30/22,E15,New plants 2022,2
3,GTOOO1,9177,CTR,4413,BESC-463,B1,6/28/22,6/30/22,E14,New plants 2022,3
4,GTOOO1,9180,AS,4413,BESC-463,B1,6/28/22,6/30/22,E14,New plants 2022,4
5,GTOOO1,9123,CTR,4928,MTSM-27-3,B1,6/28/22,6/30/22,E15,New plants 2022,5
6,GTOOO1,9126,AS,4928,MTSM-27-3,B1,6/28/22,6/30/22,E15,New plants 2022,6
7,GTOOO1,9171,CTR,4404,BESC-455,B1,6/28/22,6/30/22,E14,New plants 2022,7
8,GTOOO1,9174,AS,4404,BESC-455,B1,6/28/22,6/30/22,E14,New plants 2022,8
9,GTOOO1,9135,CTR,4934,NHTB-27-3,B1,6/28/22,6/30/22,E15,New plants 2022,9
10,GTOOO1,9138,AS,4934,NHTB-27-3,B1,6/28/22,6/30/22,E15,New plants 2022,10
11,GTOOO1,9093,CTR,4181,BESC-213,B1,6/28/22,6/30/22,E15,New plants 2022,11
12,GTOOO1,9096,AS,4181,BESC-213,B1,6/28/22,6/30/22,E15,New plants 2022,12
13,GTOOO1,9153,CTR,"4192, 4193",BESC-223,B1,6/28/22,6/30/22,E14,New plants 2022,13
14,GTOOO1,9156,AS,"4192, 4193",BESC-223,B1,6/28/22,6/30/22,E14,New plants 2022,14
15,GTOOO1,9141,CTR,"4961, 4962",YALD-27-5,B1,6/28/22,6/30/22,E15,New plants 2022,15
16,GTOOO1,9144,AS,"4961, 4962",YALD-27-5,B1,6/28/22,6/30/22,E15,New plants 2022,16
17,GTOOO1,9099,CTR,4385,BESC-432,B1,6/28/22,6/30/22,E15,New plants 2022,17
18,GTOOO1,9102,AS,4385,BESC-432,B1,6/28/22,6/30/22,E15,New plants 2022,18
19,GTOOO1,9105,CTR,4560,BESC-899,B1,6/28/22,6/30/22,E15,New plants 2022,19
20,GTOOO1,9108,AS,4560,BESC-899,B1,6/28/22,6/30/22,E15,New plants 2022,20
21,GTOOO1,9147,CTR,"4118, 4119",BESC-1236,B1,6/28/22,6/30/22,E14,New plants 2022,21
1,GTOOO2,9150,AS,"4118, 4119",BESC-1236,B1,6/28/22,6/30/22,E14,New plants 2022,22
2,GTOOO2,9129,CTR,4554,BESC-893,B1,6/28/22,6/30/22,E15,New plants 2022,23
3,GTOOO2,9132,AS,4554,BESC-893,B1,6/28/22,6/30/22,E15,New plants 2022,24
4,GTOOO2,9159,CTR,4200,BESC-227,B1,6/28/22,6/30/22,E14,New plants 2022,25
5,GTOOO2,9162,AS,4200,BESC-227,B1,6/28/22,6/30/22,E14,New plants 2022,26
6,GTOOO2,9111,CTR,4749,GW-9816,B1,6/28/22,6/30/22,E15,New plants 2022,27
7,GTOOO2,9114,AS,4749,GW-9816,B1,6/28/22,6/30/22,E15,New plants 2022,28
8,GTOOO2,9165,CTR,4349,BESC-394,B1,6/28/22,6/30/22,E14,New plants 2022,29
9,GTOOO2,9168,AS,4349,BESC-394,B1,6/28/22,6/30/22,E14,New plants 2022,30
10,GTOOO2,9183,CTR,4436,BESC-63,B1,6/28/22,6/30/22,E14,New plants 2022,31
11,GTOOO2,9186,AS,4436,BESC-63,B1,6/28/22,6/30/22,E14,New plants 2022,32
12,GTOOO2,9118,CTR,4902,KTMC-12-1,B2,6/28/22,6/30/22,E15,New plants 2022,33
13,GTOOO2,9121,AS,4902,KTMC-12-1,B2,6/28/22,6/30/22,E15,New plants 2022,34
14,GTOOO2,9178,CTR,4413,BESC-463,B2,6/28/22,6/30/22,E14,New plants 2022,35
15,GTOOO2,9181,AS,4413,BESC-463,B2,6/28/22,6/30/22,E14,New plants 2022,36
16,GTOOO2,9124,CTR,4928,MTSM-27-3,B2,6/28/22,6/30/22,E15,New plants 2022,37
17,GTOOO2,9127,AS,4928,MTSM-27-3,B2,6/28/22,6/30/22,E15,New plants 2022,38
18,GTOOO2,9172,CTR,4404,BESC-455,B2,6/28/22,6/30/22,E14,New plants 2022,39
19,GTOOO2,9175,AS,4404,BESC-455,B2,6/28/22,6/30/22,E14,New plants 2022,40
20,GTOOO2,9136,CTR,4934,NHTB-27-3,B2,6/28/22,6/30/22,E15,New plants 2022,41
21,GTOOO2,9139,AS,4934,NHTB-27-3,B2,6/28/22,6/30/22,E15,New plants 2022,42
1,GTOOO3,9094,CTR,4181,BESC-213,B2,6/28/22,6/30/22,E15,New plants 2022,43
2,GTOOO3,9097,AS,4181,BESC-213,B2,6/28/22,6/30/22,E15,New plants 2022,44
3,GTOOO3,9154,CTR,"4192, 4193",BESC-223,B2,6/28/22,6/30/22,E14,New plants 2022,45
4,GTOOO3,9157,AS,"4192, 4193",BESC-223,B2,6/28/22,6/30/22,E14,New plants 2022,46
5,GTOOO3,9142,CTR,"4961, 4962",YALD-27-5,B2,6/28/22,6/30/22,E15,New plants 2022,47
6,GTOOO3,9145,AS,"4961, 4962",YALD-27-5,B2,6/28/22,6/30/22,E15,New plants 2022,48
7,GTOOO3,9100,CTR,4385,BESC-432,B2,6/28/22,6/30/22,E15,New plants 2022,49
8,GTOOO3,9103,AS,4385,BESC-432,B2,6/28/22,6/30/22,E15,New plants 2022,50
9,GTOOO3,9106,CTR,4560,BESC-899,B2,6/28/22,6/30/22,E15,New plants 2022,51
10,GTOOO3,9109,AS,4560,BESC-899,B2,6/28/22,6/30/22,E15,New plants 2022,52
11,GTOOO3,9148,CTR,"4118, 4119",BESC-1236,B2,6/28/22,6/30/22,E14,New plants 2022,53
12,GTOOO3,9151,AS,"4118, 4119",BESC-1236,B2,6/28/22,6/30/22,E14,New plants 2022,54
13,GTOOO3,9130,CTR,4554,BESC-893,B2,6/28/22,6/30/22,E15,New plants 2022,55
14,GTOOO3,9133,AS,4554,BESC-893,B2,6/28/22,6/30/22,E15,New plants 2022,56
15,GTOOO3,9160,CTR,4200,BESC-227,B2,6/28/22,6/30/22,E14,New plants 2022,57
16,GTOOO3,9163,AS,4200,BESC-227,B2,6/28/22,6/30/22,E14,New plants 2022,58
17,GTOOO3,9112,CTR,4749,GW-9816,B2,6/28/22,6/30/22,E15,New plants 2022,59
18,GTOOO3,9115,AS,4749,GW-9816,B2,6/28/22,6/30/22,E15,New plants 2022,60
19,GTOOO3,9166,CTR,4349,BESC-394,B2,6/28/22,6/30/22,E14,New plants 2022,61
20,GTOOO3,9169,AS,4349,BESC-394,B2,6/28/22,6/30/22,E14,New plants 2022,62
21,GTOOO3,9184,CTR,4436,BESC-63,B2,6/28/22,6/30/22,E14,New plants 2022,63
1,GTOOO4,9187,AS,4436,BESC-63,B2,6/28/22,6/30/22,E14,New plants 2022,64
2,GTOOO4,9119,CTR,4902,KTMC-12-1,B3,6/28/22,6/30/22,E15,New plants 2022,65
3,GTOOO4,9122,AS,4902,KTMC-12-1,B3,6/28/22,6/30/22,E15,New plants 2022,66
4,GTOOO4,9179,CTR,4413,BESC-463,B3,6/28/22,6/30/22,E14,New plants 2022,67
5,GTOOO4,9182,AS,4413,BESC-463,B3,6/28/22,6/30/22,E14,New plants 2022,68
6,GTOOO4,9125,CTR,4928,MTSM-27-3,B3,6/28/22,6/30/22,E15,New plants 2022,69
7,GTOOO4,9128,AS,4928,MTSM-27-3,B3,6/28/22,6/30/22,E15,New plants 2022,70
8,GTOOO4,9173,CTR,4404,BESC-455,B3,6/28/22,6/30/22,E14,New plants 2022,71
9,GTOOO4,9176,AS,4404,BESC-455,B3,6/28/22,6/30/22,E14,New plants 2022,72
10,GTOOO4,9137,CTR,4934,NHTB-27-3,B3,6/28/22,6/30/22,E15,New plants 2022,73
11,GTOOO4,9140,AS,4934,NHTB-27-3,B3,6/28/22,6/30/22,E15,New plants 2022,74
12,GTOOO4,9095,CTR,4181,BESC-213,B3,6/28/22,6/30/22,E15,New plants 2022,75
13,GTOOO4,9098,AS,4181,BESC-213,B3,6/28/22,6/30/22,E15,New plants 2022,76
14,GTOOO4,9155,CTR,"4192, 4193",BESC-223,B3,6/28/22,6/30/22,E14,New plants 2022,77
15,GTOOO4,9158,AS,"4192, 4193",BESC-223,B3,6/28/22,6/30/22,E14,New plants 2022,78
16,GTOOO4,9143,CTR,"4961, 4962",YALD-27-5,B3,6/28/22,6/30/22,E15,New plants 2022,79
17,GTOOO4,9146,AS,"4961, 4962",YALD-27-5,B3,6/28/22,6/30/22,E15,New plants 2022,80
18,GTOOO4,9101,CTR,4385,BESC-432,B3,6/28/22,6/30/22,E15,New plants 2022,81
19,GTOOO4,9104,AS,4385,BESC-432,B3,6/28/22,6/30/22,E15,New plants 2022,82
20,GTOOO4,9107,CTR,4560,BESC-899,B3,6/28/22,6/30/22,E15,New plants 2022,83
21,GTOOO4,9110,AS,4560,BESC-899,B3,6/28/22,6/30/22,E15,New plants 2022,84
,GTOOO5,9149,CTR,"4118, 4119",BESC-1236,B3,6/28/22,6/30/22,E14,New plants 2022,85
,GTOOO5,9152,AS,"4118, 4119",BESC-1236,B3,6/28/22,6/30/22,E14,New plants 2022,86
,GTOOO5,9131,CTR,4554,BESC-893,B3,6/28/22,6/30/22,E15,New plants 2022,87
,GTOOO5,9134,AS,4554,BESC-893,B3,6/28/22,6/30/22,E15,New plants 2022,88
,GTOOO5,9161,CTR,4200,BESC-227,B3,6/28/22,6/30/22,E14,New plants 2022,89
,GTOOO5,9164,AS,4200,BESC-227,B3,6/28/22,6/30/22,E14,New plants 2022,90
,GTOOO5,9113,CTR,4749,GW-9816,B3,6/28/22,6/30/22,E15,New plants 2022,91
,GTOOO5,9116,AS,4749,GW-9816,B3,6/28/22,6/30/22,E15,New plants 2022,92
,GTOOO5,9167,CTR,4349,BESC-394,B3,6/28/22,6/30/22,E14,New plants 2022,93
,GTOOO5,9170,AS,4349,BESC-394,B3,6/28/22,6/30/22,E14,New plants 2022,94
,GTOOO5,9185,CTR,4436,BESC-63,B3,6/28/22,6/30/22,E14,New plants 2022,95
,GTOOO5,9188,AS,4436,BESC-63,B3,6/28/22,6/30/22,E14,New plants 2022,96
