Phase ,Timepoint,group
GTB,wk3,Grids_pre_shift/subset_a 
GTC,wk3,Grids_pre_shift/subset_a 
GTD,wk3,Grids_pre_shift/subset_a 
GTE,wk3,Grids_pre_shift/subset_b 
GTF,wk3,Grids_pre_shift/subset_b 
GTG,wk3,Grids_pre_shift/subset_b 
GTH,wk3,Grids_pre_shift/subset_b 
GTI,wk3,Grids_pre_shift/subset_b 
GTJ,wk3,Grids_pre_shift/subset_b 
GTK,wk3,Grids_pre_shift/subset_b 
GTL,wk3,Grids_pre_shift/subset_b 
GTM,wk3,Grids_pre_shift/subset_b 
GTN,wk3,Grids_pre_shift/subset_b 
GTO,wk3,Grids_pre_shift/subset_b 
GTP,wk3,Grids_pre_shift/subset_b 
GTQ,wk3,Grids_pre_shift/subset_b 
GTQ,wk3,Grids_pre_shift/subset_b 
GTR,wk3,Grids_pre_shift/subset_b 
GTS,wk3,Grids_pre_shift/subset_b 
GTT,wk3,Grids_post_shift/subset_a
GTU,wk3,Grids_post_shift/subset_a
GTV,wk3,Grids_post_shift/subset_a
GTW,wk3,Grids_post_shift/subset_a
GTX,wk3,Grids_post_shift/subset_a
GTY,wk3,Grids_post_shift/subset_a
GTZ,wk3,Grids_post_shift/subset_a
GTAA,wk3,Grids_post_shift/subset_a
GTBB,wk3,Grids_post_shift/subset_b
GTCC,wk3,Grids_post_shift/subset_b
GTDD,wk3,Grids_post_shift/subset_b
GTEE,wk3,Grids_post_shift/subset_b
GTFF,wk3,Grids_post_shift/subset_b
GTGG,wk3,Grids_post_shift/subset_b
GTHH,wk3,Grids_post_shift/subset_b
GTII,wk5,Grids_post_shift/subset_b
GTJJ,wk4,Grids_post_shift/subset_b
GTKK,wk3,Grids_post_shift/subset_c
GTLL,wk3,Grids_post_shift/subset_c
GTMM,wk3,Grids_post_shift/subset_c
GTNN,wk3,Grids_post_shift/subset_c
GTOO,wk3,Grids_post_shift/subset_c
GTPP,wk3,Grids_post_shift/subset_c
GTQQ,wk3,Grids_post_shift/subset_c
GTRR,wk3,Grids_post_shift/subset_c
GTSS,wk3,Grids_post_shift/subset_c
GTTT,wk3,Grids_post_shift/subset_c
GTUU,wk3,Grids_post_shift/subset_d
GTVV,wk3,Grids_post_shift/subset_d
GTWW,wk3,Grids_post_shift/subset_d
GTXX,wk3,Grids_post_shift/subset_d
GTYY,wk3,Grids_post_shift/subset_d
GTZZ,wk3,Grids_post_shift/subset_d
GTAAA,wk3,Grids_post_shift/subset_d
GTBBB,wk3,Grids_post_shift/subset_d
GTCCC,wk3,Grids_post_shift/subset_d
GTDDD,wk3,Grids_post_shift/subset_d
GTEEE,wk3,Grids_post_shift/subset_d
GTFFF,wk3,Grids_post_shift/subset_d
GTHHH,wk3,Grids_post_shift/subset_d
GTB,wk7,Grids_pre_shift/subset_a 
GTC,wk7,Grids_pre_shift/subset_a 
GTD,wk7,Grids_pre_shift/subset_b 
GTE,wk7,Grids_pre_shift/subset_b 
GTF,wk7,Grids_pre_shift/subset_b 
GTG,wk7,Grids_pre_shift/subset_b 
GTH,wk7,Grids_pre_shift/subset_b 
GTI,wk7,Grids_pre_shift/subset_b 
GTJ,wk7,Grids_pre_shift/subset_b 
GTK,wk7,Grids_pre_shift/subset_b 
GTL,wk7,Grids_pre_shift/subset_b 
GTM,wk7,Grids_pre_shift/subset_b 
GTN,wk7,Grids_pre_shift/subset_b 
GTO,wk7,Grids_pre_shift/subset_b 
GTP,wk7,Grids_pre_shift/subset_b 
GTQ,wk7,Grids_post_shift/subset_a
GTQ,wk7,Grids_post_shift/subset_a
GTR,wk7,Grids_post_shift/subset_a
GTS,wk7,Grids_post_shift/subset_a
GTT,wk7,Grids_post_shift/subset_a
GTU,wk7,Grids_post_shift/subset_a
GTV,wk7,Grids_post_shift/subset_a
GTW,wk7,Grids_post_shift/subset_a
GTX,wk7,Grids_post_shift/subset_a
GTY,wk7,Grids_post_shift/subset_a
GTZ,wk7,Grids_post_shift/subset_a
GTAA,wk7,Grids_post_shift/subset_a
GTBB,wk7,Grids_post_shift/subset_b
GTCC,wk7,Grids_post_shift/subset_b
GTDD,wk7,Grids_post_shift/subset_b
GTEE,wk7,Grids_post_shift/subset_b
GTFF,wk7,Grids_post_shift/subset_b
GTGG,wk8,Grids_post_shift/subset_b
GTHH,wk7,Grids_post_shift/subset_b
GTII,wk7,Grids_post_shift/subset_b
GTJJ,wk7,Grids_post_shift/subset_b
GTKK,wk7,Grids_post_shift/subset_c
GTLL,wk7,Grids_post_shift/subset_c
GTMM,wk7,Grids_post_shift/subset_c
GTNN,wk7,Grids_post_shift/subset_c
GTOO,wk7,Grids_post_shift/subset_c
GTPP,wk7,Grids_post_shift/subset_c
GTQQ,wk7,Grids_post_shift/subset_c
GTRR,wk7,Grids_post_shift/subset_c
GTSS,wk7,Grids_post_shift/subset_d
GTTT,wk7,Grids_post_shift/subset_d
GTUU,wk7,Grids_post_shift/subset_d
GTVV,wk7,Grids_post_shift/subset_d
GTWW,wk7,Grids_post_shift/subset_d
GTXX,wk7,Grids_post_shift/subset_d
GTYY,wk7,Grids_post_shift/subset_d
GTZZ,wk7,Grids_post_shift/subset_d
GTAAA,wk7,Grids_post_shift/subset_d
GTBBB,wk7,Grids_post_shift/subset_d
GTCCC,wk9,Grids_post_shift/subset_d
GTDDD,wk8,Grids_post_shift/subset_d
GTEEE,wk7,Grids_post_shift/subset_d
GTFFF,wk7,Grids_post_shift/subset_d
GTHHH,wk7,Grids_post_shift/subset_d
GTB,wk10,Grids_pre_shift/subset_a 
GTC,wk10,Grids_pre_shift/subset_b 
GTD,wk10,Grids_pre_shift/subset_b 
GTE,wk10,Grids_pre_shift/subset_b 
GTF,wk10,Grids_pre_shift/subset_b 
GTG,wk10,Grids_pre_shift/subset_b 
GTH,wk10,Grids_pre_shift/subset_b 
GTI,wk10,Grids_pre_shift/subset_b 
GTJ,wk10,Grids_pre_shift/subset_b 
GTK,wk10,Grids_pre_shift/subset_b 
GTL,wk10,Grids_pre_shift/subset_b 
GTM,wk10,Grids_pre_shift/subset_b 
GTN,wk10,Grids_pre_shift/subset_b 
GTO,wk10,Grids_post_shift/subset_a
GTP,wk10,Grids_post_shift/subset_a
GTQ,wk10,Grids_post_shift/subset_a
GTQ,wk10,Grids_post_shift/subset_a
GTR,wk10,Grids_post_shift/subset_a
GTS,wk10,Grids_post_shift/subset_a
GTT,wk10,Grids_post_shift/subset_a
GTU,wk10,Grids_post_shift/subset_a
GTV,wk10,Grids_post_shift/subset_a
GTW,wk10,Grids_post_shift/subset_a
GTX,wk10,Grids_post_shift/subset_a
GTY,wk10,Grids_post_shift/subset_a
GTZ,wk10,Grids_post_shift/subset_b
GTAA,wk10,Grids_post_shift/subset_b
GTBB,wk10,Grids_post_shift/subset_b
GTCC,wk13,Grids_post_shift/subset_c
GTDD,wk12,Grids_post_shift/subset_c
GTEE,wk13,Grids_post_shift/subset_c
GTFF,wk10,Grids_post_shift/subset_c
GTGG,wk10,Grids_post_shift/subset_b
GTHH,wk10,Grids_post_shift/subset_b
GTII,wk10,Grids_post_shift/subset_b
GTJJ,wk10,Grids_post_shift/subset_b
GTKK,wk10,Grids_post_shift/subset_c
GTLL,wk10,Grids_post_shift/subset_c
GTMM,wk10,Grids_post_shift/subset_c
GTNN,wk10,Grids_post_shift/subset_c
GTOO,wk10,Grids_post_shift/subset_c
GTPP,wk10,Grids_post_shift/subset_c
GTQQ,wk10,Grids_post_shift/subset_c
GTRR,wk10,Grids_post_shift/subset_d
GTSS,wk10,Grids_post_shift/subset_d
GTTT,wk10,Grids_post_shift/subset_d
GTUU,wk10,Grids_post_shift/subset_d
GTVV,wk10,Grids_post_shift/subset_d
GTWW,wk10,Grids_post_shift/subset_d
GTXX,wk10,Grids_post_shift/subset_d
GTYY,wk10,Grids_post_shift/subset_d
GTZZ,wk10,Grids_post_shift/subset_d
GTAAA,wk10,Grids_post_shift/subset_d
GTBBB,wk10,Grids_post_shift/subset_d
GTCCC,wk10,Grids_post_shift/subset_d
GTDDD,wk10,Grids_post_shift/subset_d
GTEEE,wk10,Grids_post_shift/subset_d
GTFFF,wk10,Grids_post_shift/subset_d
GTHHH,wk10,Grids_post_shift/subset_d